"","kratica","datum","tip","tecaj"
"338","CAD",2016-09-03,"nakupni",1.29935
"339","SGD",2016-09-03,"nakupni",1.36025
"340","CHF",2016-09-03,"nakupni",0.98097
"341","MYR",2016-09-03,"nakupni",4.0890012001
"342","JPY",2016-09-03,"nakupni",103.971
"343","CNY",2016-09-03,"nakupni",6.68225
"344","NZD",2016-09-03,"nakupni",1.3708113147
"345","THB",2016-09-03,"nakupni",34.6332340514
"346","HUF",2016-09-03,"nakupni",278.1765
"347","AED",2016-09-03,"nakupni",3.6731485495
"348","HKD",2016-09-03,"nakupni",7.75535
"349","MXN",2016-09-03,"nakupni",18.58926
"350","ZAR",2016-09-03,"nakupni",14.480245
"351","PHP",2016-09-03,"nakupni",46.6298291017
"352","SEK",2016-09-03,"nakupni",8.585955
"353","IDR",2016-09-03,"nakupni",13201
"354","SAR",2016-09-03,"nakupni",3.75065
"355","BRL",2016-09-03,"nakupni",3.25755
"356","TRY",2016-09-03,"nakupni",2.9505485409
"357","KES",2016-09-03,"nakupni",101.1714643861
"358","KRW",2016-09-03,"nakupni",1116.395
"359","EGP",2016-09-03,"nakupni",8.8830489751
"360","IQD",2016-09-03,"nakupni",1167
"361","NOK",2016-09-03,"nakupni",8.318245
"362","KWD",2016-09-03,"nakupni",0.3018689765
"363","RUB",2016-09-03,"nakupni",65.1487019121
"364","DKK",2016-09-03,"nakupni",6.669545
"365","PKR",2016-09-03,"nakupni",104.1703560334
"366","ILS",2016-09-03,"nakupni",3.759495
"367","PLN",2016-09-03,"nakupni",3.91413
"368","QAR",2016-09-03,"nakupni",3.6413964435
"369","XAU",2016-09-03,"nakupni",0.0007547113
"370","OMR",2016-09-03,"nakupni",0.3849549801
"371","COP",2016-09-03,"nakupni",2936.1677138998
"372","CLP",2016-09-03,"nakupni",680.2721088435
"373","TWD",2016-09-03,"nakupni",31.67
"374","ARS",2016-09-03,"nakupni",14.982947907
"375","CZK",2016-09-03,"nakupni",24.22065
"376","VND",2016-09-03,"nakupni",22296.544035674
"377","MAD",2016-09-03,"nakupni",9.7366717135
"378","JOD",2016-09-03,"nakupni",0.7080408145
"379","BHD",2016-09-03,"nakupni",0.3770602572
"380","XOF",2016-09-03,"nakupni",588.01297394
"381","LKR",2016-09-03,"nakupni",144.7823342387
"382","UAH",2016-09-03,"nakupni",26.5872452477
"383","NGN",2016-09-03,"nakupni",313.4314791772
"384","TND",2016-09-03,"nakupni",2.2017387131
"385","UGX",2016-09-03,"nakupni",3360.5538192694
"386","RON",2016-09-03,"nakupni",3.9874475152
"387","BDT",2016-09-03,"nakupni",78.0753489578
"388","PEN",2016-09-03,"nakupni",3.3929998875
"389","GEL",2016-09-03,"nakupni",2.2873661039
"390","XAF",2016-09-03,"nakupni",588.01297394
"391","FJD",2016-09-03,"nakupni",2.0592974707
"392","VEF",2016-09-03,"nakupni",9.9497487937
"393","BYN",2016-09-03,"nakupni",1.9621746
"394","HRK",2016-09-03,"nakupni",6.678448786
"395","UZS",2016-09-03,"nakupni",2989.6259977877
"396","BGN",2016-09-03,"nakupni",1.751655
"397","DZD",2016-09-03,"nakupni",109.272659325
"398","IRR",2016-09-03,"nakupni",30093
"399","DOP",2016-09-03,"nakupni",45.9538760946
"400","ISK",2016-09-03,"nakupni",115.9958241503
"401","XAG",2016-09-03,"nakupni",0.0514403292
"402","CRC",2016-09-03,"nakupni",546
"403","SYP",2016-09-03,"nakupni",214.3500061035
"404","LYD",2016-09-03,"nakupni",1.3796276402
"405","JMD",2016-09-03,"nakupni",126.7046527216
"406","MUR",2016-09-03,"nakupni",35.1604706299
"407","GHS",2016-09-03,"nakupni",3.9697731942
"408","AOA",2016-09-03,"nakupni",165.7412778653
"409","UYU",2016-09-03,"nakupni",28.4474788422
"410","AFN",2016-09-03,"nakupni",66.6299972534
"411","LBP",2016-09-03,"nakupni",1499.542639495
"412","XPF",2016-09-03,"nakupni",106.9713603819
"413","TTD",2016-09-03,"nakupni",6.6697084984
"414","TZS",2016-09-03,"nakupni",2176.1364872805
"415","ALL",2016-09-03,"nakupni",122.3621906549
"416","XCD",2016-09-03,"nakupni",2.7000000027
"417","GTQ",2016-09-03,"nakupni",7.5193080793
"418","NPR",2016-09-03,"nakupni",106.9639980575
"419","BOB",2016-09-03,"nakupni",6.8699998856
"420","ZWD",2016-09-03,"nakupni",361.9
"421","BBD",2016-09-03,"nakupni",2
"422","CUC",2016-09-03,"nakupni",1
"423","LAK",2016-09-03,"nakupni",8073
"424","BND",2016-09-03,"nakupni",1.36025
"425","BWP",2016-09-03,"nakupni",10.8115705428
"426","HNL",2016-09-03,"nakupni",22.7971875566
"427","PYG",2016-09-03,"nakupni",5523
"428","ETB",2016-09-03,"nakupni",22.1380043342
"429","NAD",2016-09-03,"nakupni",14.480245
"430","PGK",2016-09-03,"nakupni",3.1696072698
