"","kratica","datum","tip","tecaj"
"421","PHP",1998-10-01,"nakupni",43.7981180496
"422","SEK",1998-10-01,"nakupni",7.8487480838
"423","IDR",1998-10-01,"nakupni",10816.901408451
"424","SAR",1998-10-01,"nakupni",3.7509157509
"425","BRL",1998-10-01,"nakupni",1.1831767062
"426","KRW",1998-10-01,"nakupni",1387.5338753388
"427","EGP",1998-10-01,"nakupni",3.3982300885
"428","NOK",1998-10-01,"nakupni",7.3846153846
"429","DKK",1998-10-01,"nakupni",6.2770739681
"430","PKR",1998-10-01,"nakupni",54.1035575907
"431","ILS",1998-10-01,"nakupni",3.868043314
"432","XAU",1998-10-01,"nakupni",0.0033602415
"433","CLP",1998-10-01,"nakupni",467.5799086758
"434","TWD",1998-10-01,"nakupni",34.2704149933
"435","CZK",1998-10-01,"nakupni",30.2958579882
"436","JOD",1998-10-01,"nakupni",0.7079972344
"437","FJD",1998-10-01,"nakupni",2.0347065837
"438","DZD",1998-10-01,"nakupni",54.9159814087
"439","ISK",1998-10-01,"nakupni",68.7248322148
"440","XAG",1998-10-01,"nakupni",0.1862269641
"441","JMD",1998-10-01,"nakupni",35.7958517828
"442","LBP",1998-10-01,"nakupni",1502.9354207436
"443","TTD",1998-10-01,"nakupni",6.2413652987
"444","XCD",1998-10-01,"nakupni",2.6999472667
"445","BBD",1998-10-01,"nakupni",2.0112609663
"446","BMD",1998-10-01,"nakupni",1
"447","XPT",1998-10-01,"nakupni",0.0028539046
"448","BSD",1998-10-01,"nakupni",1
"449","XDR",1998-10-01,"nakupni",0.7247334151
"450","USD",1998-11-01,"nakupni",1
"451","EUR",1998-11-01,"nakupni",0.8415166394
"452","GBP",1998-11-01,"nakupni",0.5974745323
"453","INR",1998-11-01,"nakupni",42.2950370167
"454","AUD",1998-11-01,"nakupni",1.5974523612
"455","CAD",1998-11-01,"nakupni",1.5425
"456","SGD",1998-11-01,"nakupni",1.6250526759
"457","CHF",1998-11-01,"nakupni",1.3554481547
"458","MYR",1998-11-01,"nakupni",3.7992610837
"459","JPY",1998-11-01,"nakupni",116.5910808768
"460","CNY",1998-11-01,"nakupni",8.2796564681
"461","NZD",1998-11-01,"nakupni",1.8870809885
"462","THB",1998-11-01,"nakupni",36.708710138
"463","HUF",1998-11-01,"nakupni",216.3394109397
"464","HKD",1998-11-01,"nakupni",7.7434738956
"465","ZAR",1998-11-01,"nakupni",5.5847212165
"466","PHP",1998-11-01,"nakupni",40.2006776127
"467","SEK",1998-11-01,"nakupni",7.8022255943
"468","IDR",1998-11-01,"nakupni",7451.690821256
"469","SAR",1998-11-01,"nakupni",3.7503039144
"470","BRL",1998-11-01,"nakupni",1.1927776059
